id,file_name,file_index,img_type,time_utc,minute_offsets,episode_id,event_id,event_type,llcrnrlat,llcrnrlon,urcrnrlat,urcrnrlon,proj,size_x,size_y,height_m,width_m,data_min,data_max,pct_missing
S769210,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,0,vil,8/13/2018 14:45,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,128207,769210,Flash Flood,38.72374597,-77.76167796,41.16358562,-72.19865496,#NAME?,384,384,384000,384000,0,250,0
S762846,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,1,vil,8/1/2018 2:41,-121:-116:-111:-106:-101:-96:-91:-86:-81:-76:-71:-66:-61:-56:-51:-46:-41:-36:-31:-26:-21:-16:-11:-6:-1:4:9:14:19:24:29:34:39:44:49:54:59:64:69:74:79:84:89:94:99:104:109:114:119,127107,762846,Hail,33.37666123,-108.5323953,37.12599943,-104.6852639,#NAME?,384,384,384000,384000,0,254,0
S757387,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,2,vil,7/4/2018 19:25,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,126333,757387,Tornado,28.80593327,-99.57554713,32.25161961,-95.55691151,#NAME?,384,384,384000,384000,0,254,0
S769502,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,3,vil,7/17/2018 18:02,-122:-117:-112:-107:-102:-97:-92:-87:-82:-77:-72:-67:-62:-57:-52:-47:-42:-37:-32:-27:-22:-17:-12:-7:-2:3:8:13:18:23:28:33:38:43:48:53:58:63:68:73:78:83:88:93:98:103:108:113:118,128298,769502,Thunderstorm Wind,30.97101565,-84.70868477,33.80207834,-80.02607669,#NAME?,384,384,384000,384000,0,254,0
S778627,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,4,vil,7/17/2018 4:21,-121:-116:-111:-106:-101:-96:-91:-86:-81:-76:-71:-66:-61:-56:-51:-46:-41:-36:-31:-26:-21:-16:-11:-6:-1:4:9:14:19:24:29:34:39:44:49:54:59:64:69:74:79:84:89:94:99:104:109:114:119,129942,778627,Flash Flood,32.51254943,-112.1546753,36.37561677,-108.5069864,#NAME?,384,384,384000,384000,0,254,0
S776127,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,5,vil,7/2/2018 22:03,-118:-113:-108:-103:-98:-93:-88:-83:-78:-73:-68:-63:-58:-53:-48:-43:-38:-33:-28:-23:-18:-13:-8:-3:2:7:12:17:22:27:32:37:42:47:52:57:62:67:72:77:82:87:92:97:102:107:112:117:122,129536,776127,Thunderstorm Wind,41.23233503,-78.79355429,43.70529504,-73.01885899,#NAME?,384,384,384000,384000,0,254,0
S786332,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,6,vil,8/23/2018 3:17,-122:-117:-112:-107:-102:-97:-92:-87:-82:-77:-72:-67:-62:-57:-52:-47:-42:-37:-32:-27:-22:-17:-12:-7:-2:3:8:13:18:23:28:33:38:43:48:53:58:63:68:73:78:83:88:93:98:103:108:113:118,131413,786332,Flash Flood,32.23211105,-114.4869059,36.16424714,-110.9556424,#NAME?,384,384,384000,384000,0,254,0
S765543,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,7,vil,7/7/2018 22:15,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,127664,765543,Thunderstorm Wind,32.7988157,-114.2045873,36.72318593,-110.6421173,#NAME?,384,384,384000,384000,0,254,0
S771487,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,8,vil,7/16/2018 23:30,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,128618,771487,Flash Flood,35.19276982,-95.07297496,38.44779161,-90.52469401,#NAME?,384,384,384000,384000,0,254,0
S786459,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,9,vil,9/2/2018 1:11,-121:-116:-111:-106:-101:-96:-91:-86:-81:-76:-71:-66:-61:-56:-51:-46:-41:-36:-31:-26:-21:-16:-11:-6:-1:4:9:14:19:24:29:34:39:44:49:54:59:64:69:74:79:84:89:94:99:104:109:114:119,131440,786459,Hail,33.01576013,-111.8909115,36.87105787,-108.213014,#NAME?,384,384,384000,384000,0,254,0
S774604,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,10,vil,7/20/2018 23:20,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,129273,774604,Thunderstorm Wind,30.08546831,-111.7298703,33.93529267,-108.1447591,#NAME?,384,384,384000,384000,0,254,0
S778798,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,11,vil,9/4/2018 2:36,-121:-116:-111:-106:-101:-96:-91:-86:-81:-76:-71:-66:-61:-56:-51:-46:-41:-36:-31:-26:-21:-16:-11:-6:-1:4:9:14:19:24:29:34:39:44:49:54:59:64:69:74:79:84:89:94:99:104:109:114:119,130028,778798,Hail,45.07167861,-105.1027723,48.71447399,-100.3616622,#NAME?,384,384,384000,384000,0,254,0
S776833,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,12,vil,7/25/2018 21:32,-122:-117:-112:-107:-102:-97:-92:-87:-82:-77:-72:-67:-62:-57:-52:-47:-42:-37:-32:-27:-22:-17:-12:-7:-2:3:8:13:18:23:28:33:38:43:48:53:58:63:68:73:78:83:88:93:98:103:108:113:118,129694,776833,Thunderstorm Wind,41.52722412,-113.9400237,45.46090421,-110.0015416,#NAME?,384,384,384000,384000,0,249,0
S780574,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,13,vil,8/16/2018 1:26,-121:-116:-111:-106:-101:-96:-91:-86:-81:-76:-71:-66:-61:-56:-51:-46:-41:-36:-31:-26:-21:-16:-11:-6:-1:4:9:14:19:24:29:34:39:44:49:54:59:64:69:74:79:84:89:94:99:104:109:114:119,130394,780574,Flash Flood,42.1353248,-98.77566129,45.52958489,-93.89880678,#NAME?,384,384,384000,384000,0,254,0
S794783,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,14,vil,11/13/2018 9:45,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,132836,794783,Tornado,33.37952659,-79.21277994,35.9357845,-74.16324551,#NAME?,384,384,384000,384000,0,254,0
S763523,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,15,vil,7/27/2018 21:55,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,127381,763523,Hail,43.80708317,-111.6142237,47.67431459,-107.3944081,#NAME?,384,384,384000,384000,0,254,0
S776707,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,16,vil,9/22/2018 23:40,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,129602,776707,Flash Flood,30.76402228,-95.95254274,34.06723137,-91.70053274,#NAME?,384,384,384000,384000,0,238,0
S787165,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,17,vil,9/30/2018 7:00,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,131596,787165,Flash Flood,34.11431482,-84.67235579,36.92379328,-79.77156361,#NAME?,384,384,384000,384000,0,234,0
S788965,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,18,vil,10/25/2018 0:55,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,131893,788965,Flash Flood,27.6764049,-97.13018578,31.03528642,-93.07315413,#NAME?,384,384,384000,384000,0,254,0
S764450,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,19,vil,8/11/2018 1:07,-122:-117:-112:-107:-102:-97:-92:-87:-82:-77:-72:-67:-62:-57:-52:-47:-42:-37:-32:-27:-22:-17:-12:-7:-2:3:8:13:18:23:28:33:38:43:48:53:58:63:68:73:78:83:88:93:98:103:108:113:118,127514,764450,Hail,29.3753532,-97.52661527,32.74333008,-93.40472315,#NAME?,384,384,384000,384000,0,254,0
S773841,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,20,vil,8/7/2018 23:00,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,129109,773841,Hail,39.29163039,-106.5926152,42.97924812,-102.3498155,#NAME?,384,384,384000,384000,0,254,0
